"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 03- 17","230.56","230.56","230.56","230.56","","-0.19%"
"2022- 03- 16","230.99","230.99","230.99","230.99","","2.03%"
"2022- 03- 15","226.40","226.40","226.40","226.40","","0.54%"
"2022- 03- 14","225.19","225.19","225.19","225.19","","2.13%"
"2022- 03- 11","220.49","220.49","220.49","220.49","","0.79%"
"2022- 03- 10","218.76","218.76","218.76","218.76","","-2.36%"
"2022- 03- 09","224.05","224.05","224.05","224.05","","6.23%"
"2022- 03- 08","210.91","210.94","210.94","210.91","","0.08%"
"2022- 03- 07","210.75","210.75","210.75","210.75","","-1.49%"
"2022- 03- 04","213.93","213.93","213.93","213.93","","-3.74%"
"2022- 03- 03","222.24","222.24","222.24","222.24","","-1.97%"
"2022- 03- 02","226.71","226.71","226.71","226.71","","-0.62%"
"2022- 03- 01","228.12","228.12","228.12","228.12","","-3.04%"
"2022- 02- 28","235.28","235.28","235.28","235.28","","-0.81%"
"2022- 02- 25","237.21","237.21","237.21","237.21","","3.44%"
"2022- 02- 24","229.33","229.29","229.33","229.29","","-4.42%"
"2022- 02- 23","239.93","239.93","239.93","239.93","","-0.18%"
"2022- 02- 22","240.36","240.36","240.36","240.36","","-0.89%"
"2022- 02- 21","242.51","242.51","242.51","242.51","","-1.75%"
"2022- 02- 18","246.82","246.82","246.82","246.82","","-0.19%"
"2022- 02- 17","247.29","247.29","247.29","247.29","","-0.65%"
"2022- 02- 16","248.91","248.91","248.91","248.91","","-0.23%"
"2022- 02- 15","249.48","249.48","249.48","249.48","","1.31%"
"2022- 02- 14","246.26","246.26","246.26","246.26","","-1.77%"
"2022- 02- 11","250.71","250.71","250.71","250.71","","-0.10%"
"2022- 02- 10","250.96","250.96","250.96","250.96","","0.08%"
"2022- 02- 09","250.77","250.77","250.77","250.77","","1.71%"
"2022- 02- 08","246.56","246.56","246.56","246.56","","0.52%"
"2022- 02- 07","245.28","245.28","245.28","245.28","","0.07%"
"2022- 02- 04","245.11","245.11","245.11","245.11","","-1.44%"
"2022- 02- 03","248.70","248.70","248.70","248.70","","-0.36%"
"2022- 02- 02","249.60","249.60","249.60","249.60","","0.56%"
"2022- 02- 01","248.22","248.22","248.22","248.22","","0.55%"
"2022- 01- 31","246.86","246.86","246.86","246.86","","0.28%"
"2022- 01- 28","246.17","246.17","246.17","246.17","","-1.01%"
"2022- 01- 27","248.67","248.67","248.67","248.67","","1.36%"
"2022- 01- 26","245.34","245.34","245.34","245.34","","1.36%"
"2022- 01- 25","242.04","242.04","242.04","242.04","","0.82%"
"2022- 01- 24","240.07","240.07","240.07","240.07","","-2.53%"
"2022- 01- 21","246.30","246.30","246.30","246.30","","-1.48%"
"2022- 01- 20","250.00","250.00","250.00","250.00","","0.22%"
"2022- 01- 19","249.45","249.45","249.45","249.45","","-0.53%"
"2022- 01- 18","250.79","250.79","250.79","250.79","","-0.23%"
"2022- 01- 17","251.36","251.36","251.36","251.36","","0.20%"
"2022- 01- 14","250.87","250.87","250.87","250.87","","-0.13%"
"2022- 01- 13","251.19","251.19","251.19","251.19","","0.56%"
"2022- 01- 12","249.80","249.80","249.80","249.80","","0.62%"
"2022- 01- 11","248.26","248.26","248.26","248.26","","0.76%"
"2022- 01- 10","246.38","246.38","246.38","246.38","","-0.36%"
"2022- 01- 07","247.27","247.27","247.27","247.27","","-0.32%"
"2022- 01- 06","248.06","248.06","248.06","248.06","","-0.62%"
"2022- 01- 05","249.62","249.62","249.62","249.62","","0.03%"
"2022- 01- 04","249.55","249.55","249.55","249.55","","1.06%"
"2022- 01- 03","246.93","246.93","246.93","246.93","","0.97%"
"2021- 12- 31","244.55","244.55","244.55","244.55","","-0.18%"
"2021- 12- 30","244.98","244.98","244.98","244.98","","-0.02%"
"2021- 12- 29","245.04","245.04","245.04","245.04","","-0.18%"
"2021- 12- 28","245.49","245.49","245.49","245.49","","0.84%"
"2021- 12- 27","243.44","243.44","243.44","243.44","","0.38%"
"2021- 12- 24","242.52","242.52","242.52","242.52","","0.05%"
"2021- 12- 23","242.41","242.41","242.41","242.41","","0.79%"
"2021- 12- 22","240.52","240.52","240.52","240.52","","0.39%"
"2021- 12- 21","239.59","239.59","239.59","239.59","","1.27%"
"2021- 12- 20","236.59","236.59","236.59","236.59","","-1.24%"
"2021- 12- 17","239.56","239.56","239.56","239.56","","0.13%"
"2021- 12- 16","239.25","239.25","239.25","239.25","","0.68%"
"2021- 12- 15","237.64","237.64","237.64","237.64","","0.09%"
"2021- 12- 14","237.42","237.42","237.42","237.42","","-0.22%"
"2021- 12- 13","237.95","237.95","237.95","237.95","","-0.07%"
"2021- 12- 10","238.11","238.11","238.11","238.11","","-0.09%"
"2021- 12- 09","238.32","238.32","238.32","238.32","","0.09%"
"2021- 12- 08","238.11","238.11","238.11","238.11","","-0.60%"
"2021- 12- 07","239.55","239.55","239.55","239.55","","1.19%"
"2021- 12- 06","236.73","236.73","236.73","236.73","","1.57%"
"2021- 12- 03","233.06","233.06","233.06","233.06","","-0.23%"
"2021- 12- 02","233.59","233.59","233.59","233.59","","-1.17%"
"2021- 12- 01","236.36","236.36","236.36","236.36","","1.53%"
"2021- 11- 30","232.80","232.80","232.80","232.80","","-0.98%"
"2021- 11- 29","235.10","235.10","235.10","235.10","","0.21%"
"2021- 11- 26","234.61","234.61","234.61","234.61","","-2.99%"
"2021- 11- 25","241.85","241.85","241.85","241.85","","0.47%"
"2021- 11- 24","240.72","240.72","240.72","240.72","","0.37%"
"2021- 11- 23","239.84","239.84","239.84","239.84","","-0.75%"
"2021- 11- 22","241.66","241.66","241.66","241.66","","0.69%"
"2021- 11- 19","240.01","240.01","240.01","240.01","","-0.55%"
"2021- 11- 18","241.33","241.33","241.33","241.33","","-0.29%"
"2021- 11- 17","242.02","242.02","242.02","242.02","","-0.05%"
"2021- 11- 16","242.15","242.15","242.15","242.15","","-0.66%"
"2021- 11- 15","243.76","243.76","243.76","243.76","","0.64%"
"2021- 11- 12","242.22","242.22","242.22","242.22","","0.09%"
