"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 10- 05","1,715.81","1,726.42","1,728.10","1,700.15","","-0.60%"
"2022- 10- 04","1,726.24","1,699.40","1,729.73","1,694.73","","1.59%"
"2022- 10- 03","1,699.22","1,661.30","1,701.80","1,659.10","","2.38%"
"2022- 09- 30","1,659.67","1,661.13","1,675.57","1,658.93","","-0.04%"
"2022- 09- 29","1,660.29","1,659.88","1,665.12","1,641.05","","0.05%"
"2022- 09- 28","1,659.44","1,629.26","1,663.17","1,614.35","","1.88%"
"2022- 09- 27","1,628.80","1,621.99","1,642.94","1,621.77","","0.45%"
"2022- 09- 26","1,621.57","1,645.40","1,650.02","1,620.80","","-1.31%"
"2022- 09- 23","1,643.09","1,671.55","1,676.59","1,639.59","","-1.64%"
"2022- 09- 22","1,670.53","1,675.06","1,685.49","1,655.53","","-0.19%"
"2022- 09- 21","1,673.74","1,663.67","1,688.15","1,654.15","","0.64%"
"2022- 09- 20","1,663.11","1,675.47","1,679.34","1,659.60","","-0.76%"
"2022- 09- 19","1,675.78","1,675.44","1,680.16","1,659.67","","0.05%"
"2022- 09- 16","1,674.94","1,664.27","1,680.69","1,653.85","","0.67%"
"2022- 09- 15","1,663.74","1,696.06","1,698.62","1,660.04","","-1.89%"
"2022- 09- 14","1,695.80","1,701.86","1,707.49","1,693.26","","-0.34%"
"2022- 09- 13","1,701.55","1,724.75","1,732.34","1,696.70","","-1.31%"
"2022- 09- 12","1,724.07","1,717.05","1,735.37","1,711.97","","0.47%"
"2022- 09- 09","1,716.05","1,708.84","1,729.94","1,708.22","","0.51%"
"2022- 09- 08","1,707.28","1,718.40","1,728.80","1,703.50","","-0.61%"
"2022- 09- 07","1,717.69","1,701.61","1,719.82","1,690.90","","0.97%"
"2022- 09- 06","1,701.15","1,710.56","1,727.24","1,699.30","","-0.53%"
"2022- 09- 05","1,710.21","1,712.99","1,716.34","1,707.47","","-0.07%"
"2022- 09- 02","1,711.44","1,696.35","1,718.31","1,694.64","","0.91%"
"2022- 09- 01","1,696.09","1,711.09","1,711.81","1,688.35","","-0.85%"
"2022- 08- 31","1,710.70","1,723.83","1,726.86","1,709.10","","-0.75%"
"2022- 08- 30","1,723.55","1,738.36","1,740.93","1,720.85","","-0.82%"
"2022- 08- 29","1,737.82","1,736.19","1,745.63","1,720.08","","0.06%"
"2022- 08- 26","1,736.86","1,758.55","1,759.31","1,733.83","","-1.23%"
"2022- 08- 25","1,758.44","1,751.55","1,765.93","1,749.71","","0.43%"
"2022- 08- 24","1,750.89","1,748.55","1,755.88","1,742.29","","0.18%"
"2022- 08- 23","1,747.67","1,736.40","1,754.28","1,730.52","","0.69%"
"2022- 08- 22","1,735.70","1,747.05","1,749.31","1,727.51","","-0.69%"
"2022- 08- 19","1,747.83","1,759.30","1,759.88","1,745.19","","-0.59%"
"2022- 08- 18","1,758.20","1,761.63","1,772.59","1,755.37","","-0.16%"
"2022- 08- 17","1,761.05","1,775.98","1,782.63","1,759.58","","-0.82%"
"2022- 08- 16","1,775.54","1,779.74","1,783.37","1,771.33","","-0.21%"
"2022- 08- 15","1,779.36","1,802.05","1,802.53","1,772.75","","-1.24%"
"2022- 08- 12","1,801.76","1,790.06","1,802.86","1,784.52","","0.69%"
"2022- 08- 11","1,789.45","1,792.39","1,799.40","1,783.24","","-0.15%"
"2022- 08- 10","1,792.13","1,794.21","1,807.90","1,787.32","","-0.11%"
"2022- 08- 09","1,794.08","1,789.21","1,800.45","1,782.85","","0.31%"
"2022- 08- 08","1,788.52","1,773.57","1,790.26","1,770.94","","0.81%"
"2022- 08- 05","1,774.15","1,791.16","1,795.29","1,764.88","","-0.94%"
"2022- 08- 04","1,790.97","1,765.34","1,795.29","1,763.00","","1.48%"
"2022- 08- 03","1,764.90","1,760.53","1,772.90","1,754.33","","0.29%"
"2022- 08- 02","1,759.75","1,772.23","1,788.24","1,759.86","","-0.68%"
"2022- 08- 01","1,771.73","1,765.05","1,775.22","1,758.05","","0.37%"
"2022- 07- 29","1,765.22","1,755.81","1,768.17","1,752.19","","0.58%"
"2022- 07- 28","1,755.11","1,734.61","1,757.43","1,733.59","","1.22%"
"2022- 07- 27","1,733.89","1,717.41","1,740.60","1,711.46","","0.98%"
"2022- 07- 26","1,717.00","1,719.69","1,728.36","1,713.20","","-0.10%"
"2022- 07- 25","1,718.78","1,728.15","1,736.43","1,714.57","","-0.44%"
